"50mins","60mins","70mins","80mins","90mins","100mins","110mins","120mins","130mins","140mins","150mins","name"
0.950687373057008,0.987174607020743,1.02998200791367,1.03696433747968,1.03301613114245,1.02364168589891,1.00084772273606,0.9961585217259,0.992992473318946,0.989402718904639,0.982377715719243,"RSUD Malinau"
0.958232509238379,0.997766471803188,1.02495925237493,1.03736895469069,1.02828381159855,1.01743297764499,0.993038816063592,0.994244913125442,0.992160313748741,0.987411025994354,0.980910593605771,"Malinau Kota"
0.956318394791695,0.980164413358651,1.00356602982471,1.03735464955997,1.04053837459857,1.05188144402332,1.04686135791167,1.01892616534442,1.00551982417869,0.999153763356835,0.998012932017446,"Pulau Sapi"
1.00127462648294,0.914303120790106,0.929401243454777,0.939775048868685,0.950790984498471,0.959024399453032,0.937017151267986,0.94151461296538,0.939037085708944,0.930907317467838,0.927136200265242,"Sekatak"
1.66838993132114,1.59443189595875,1.57005581488976,1.53777382835265,1.52052504391897,1.51176213473082,1.4958842503173,1.47180324452264,1.45330472116346,1.435112267382,1.42349677657088,"Sungaiboh"
1.47298920154572,1.57523055871328,1.58145567893982,1.56315572415629,1.4904226529889,1.46530654378559,1.42512529404437,1.41919396093913,1.4236220079799,1.41806667645772,1.42369103081086,"Longampung"
1.22441911697388,1.22441911697388,1.22441911697388,1.16805349290371,1.21470829573545,1.20786356074469,1.24726046534146,1.24411080943214,1.24463448425134,1.26726173928806,1.2860775913511,"Longnawang"
1.26885402202606,1.3160821000735,1.34073434092782,1.36411783328423,1.26471304520965,1.25247092710601,1.21837560619627,1.19569338006633,1.18853565057119,1.19636641098903,1.18066838979721,"Longalango"
1.10740396976471,1.1141079266866,1.13525460447584,1.14332925611072,1.14392911891143,1.1912627518177,1.20647571367376,1.2227804498239,1.21535469770432,1.21359995466012,1.20670901735624,"Longloreh"
0.849462556488374,0.931162660675389,0.95455082654953,1.01787891854411,1.03983309503758,1.04788656855623,1.06106929333005,1.05440900139101,1.04494610944348,1.00733231195784,1.00052428726564,"Setulang"
NA,1.03243374824524,1.03243374824524,1.03243374824524,1.03243374824524,1.03243374824524,1.03243374824524,1.03243374824524,1.03243374824524,1.00759625434875,1.00759625434875,"Longberang"
0.956174652491297,0.991425366645836,1.0250324893982,1.05125111660787,1.04924522555632,1.03636785596609,1.00632493848703,1.00571618570748,0.996174746864959,0.989088645637206,0.987384394089381,"Tanjunglapang"
0.956174652491297,0.996401053667068,1.02205885532829,1.04678811720559,1.04368546949646,1.03619625936882,1.00524487150343,1.00407786656627,0.99613292762852,0.988886405459859,0.987384394089381,"Sesua"
NA,NA,NA,NA,NA,1.15608155727386,1.15608155727386,1.15608155727386,1.15608155727386,1.15608155727386,1.15608155727386,"Longsule"
1.23775110461495,1.23264749844869,1.23637074232101,1.1672392016963,1.060697521629,1.02888152003288,1.00539552343303,1.0399387162852,1.04537867542801,1.04841963075675,1.04881434324311,"Sehati"
