"50mins","60mins","70mins","80mins","90mins","100mins","110mins","120mins","130mins","140mins","150mins","name"
NA,NA,1.43462204933167,1.43462204933167,1.43462204933167,1.43462204933167,1.43462204933167,1.43462204933167,1.43462204933167,1.43462204933167,1.43462204933167,"Batu Horpak"
0.471239030361176,0.526228744122717,0.464020081692272,0.486289337728963,0.479510853507302,0.515440966696181,0.549943896962537,0.570844926739817,0.587851876228355,0.594141036103991,0.612379323397622,"Pintupadang"
NA,NA,NA,NA,0.761389255523682,0.692954165594918,0.486743009649217,0.462001322738586,0.544435670673847,0.556183702622851,0.5770030120557,"Sayur Matinggi"
0.970525324344635,0.970525324344635,0.970525324344635,0.970525324344635,0.970525324344635,0.970525324344635,0.970525324344635,0.970525324344635,0.970525324344635,0.605063430964947,0.389321528375149,"Huraba"
0.473526317190814,0.477737779397032,0.518679201422316,0.554085645116866,0.58522062373088,0.596423163435003,0.60119474468933,0.603495803304102,0.610404523249396,0.625423952314126,0.620594946805214,"Pargarutan"
0.381692177057266,0.488174019824891,0.471330068221218,0.481526698172092,0.51889652447267,0.533555211136805,0.565289950631943,0.589837169536112,0.605976527257191,0.596756088280924,0.602095033133439,"Simarpinggan"
0.428398355841637,0.499696716666222,0.546668309413019,0.538041116669774,0.538443510234356,0.555722664462196,0.584076445012592,0.604288423968147,0.612965358646622,0.603364151802276,0.613321973132284,"Sitinjak"
NA,NA,NA,0.795310020446777,0.795310020446777,0.960496882597605,0.88466913998127,0.831506013870239,0.855074769920773,0.728687002323568,0.657528125814029,"Sangkunur"
0.562111510005262,0.562498671573497,0.545663812409149,0.580269473582362,0.589441904113462,0.602944285043928,0.604481537664065,0.599359594335717,0.614914121465465,0.624829279465808,0.630132232961363,"Batang Toru"
0.540898668467999,0.551055083204718,0.557577742232104,0.540242056492009,0.567038930365311,0.588644753308487,0.606847033185298,0.606859176419675,0.606403202732217,0.613688270908509,0.624607392146838,"Marancar Udik"
0.477495711839315,0.502250814406605,0.532235176392316,0.558992024450525,0.568528228733809,0.575127974172756,0.591683743414523,0.604579328394553,0.617407115036463,0.607994276073075,0.611500456695182,"Huta Raja"
0.505241949889031,0.502257546071302,0.528106298707231,0.540708702673351,0.563467723964635,0.571481098710489,0.586725848624895,0.599119900629438,0.608891000313604,0.611216144320713,0.608495111287764,"Danau Marsabut"
0.59001804346388,0.539682919564454,0.547121694538651,0.528141838331253,0.508379635116285,0.517367103104961,0.555776981653079,0.563641286949659,0.580729733330643,0.585123945700835,0.605744638190675,"Hanopan"
0.729840169350306,0.743024671077728,0.761018975784904,0.746396499601277,0.747260335546273,0.773467293940485,0.766851625329739,0.707557089778842,0.663670863490552,0.65486411056058,0.60362643355778,"Sipagimbar"
NA,NA,NA,0.720272719860077,0.686818927526474,0.686818927526474,0.654459975659847,0.690309435129166,0.626946018899188,0.625021331012249,0.619454163572063,"Simangambat"
0.907284043729305,0.841805174946785,0.913985106348991,0.898061653742423,0.879156448774868,0.839724569022655,0.82835690871529,0.821256848481985,0.815178210696866,0.767941712568968,0.798057787797668,"Biru"
0.597554218498143,0.565838886403489,0.530509176216727,0.540963351075115,0.544954973841663,0.556967687469425,0.566958960974751,0.564269902334893,0.569147167233498,0.573482822022374,0.576806756474817,"Poriaha"
0.605355312811657,0.601921794365863,0.568922455986621,0.554821879965694,0.547357326026425,0.570707835043502,0.571856654815031,0.600646009225631,0.597438132371489,0.603093442324766,0.607272396926064,"Pinangsori"
0.589045506211058,0.609319146369633,0.563825135105762,0.551454512432297,0.548112427633183,0.552196060018293,0.568334336428206,0.595531472448852,0.606526377227377,0.598311468823272,0.600455221002234,"Badiri"
0.597870308446558,0.578995865735191,0.584421880845283,0.55499699490903,0.560626456076168,0.575099826748333,0.589749327065006,0.596735943013277,0.606540105108959,0.620102027915483,0.614227626529936,"Sibabangun"
0.614765024625919,0.598360601589084,0.577264271301331,0.551439625278269,0.556523605975814,0.5726717121441,0.582300637873577,0.597926555080684,0.605603852370387,0.610882480491058,0.611864949264214,"Lumut"
0.655229995470671,0.599131863684424,0.572141333988735,0.559335015820606,0.550274342517643,0.544148729836096,0.543607926700355,0.57502459615703,0.587347320695831,0.591703210482628,0.583639912710836,"Pandan"
0.612928205880068,0.545749522494466,0.565286373024556,0.550575136144956,0.546037806887327,0.545851364179004,0.567700308819612,0.579698291908897,0.59006805455027,0.588418461874409,0.588509264369604,"Sarudik"
0.605380743872701,0.586111499887446,0.564747265374014,0.552331214043546,0.545481229975145,0.537884125721794,0.570296366975367,0.583650752435269,0.598054081086576,0.590066485725656,0.590698792983788,"Kalangan"
0.572931294499988,0.537109250385388,0.519259564186398,0.539078069625845,0.54050800815759,0.554628767430211,0.560223004145045,0.562611295360486,0.562795813250192,0.577684899953785,0.572567778972745,"Aek Raisan"
0.767711087413456,0.756190312833622,0.696251195895931,0.670574541886648,0.658321068417735,0.613390903349395,0.552971884330608,0.570887564026095,0.554388833913767,0.57131574185271,0.567854360301847,"Kolang"
0.63952217126886,0.693069572560489,0.788400510326028,0.806521299210462,0.768303524789422,0.69379471577704,0.667488762891138,0.613344496572917,0.565957550280142,0.571408379696994,0.568382359124602,"Sorkam"
0.613367799669504,0.667179933190346,0.764878334743636,0.795628227293491,0.797977915889508,0.716425528079271,0.664110708191539,0.649045103822242,0.607135324918923,0.557723065260907,0.570392771051871,"Sipeapea"
NA,NA,NA,0.506764948368073,0.33969659358263,0.376252353191376,0.547037126496434,0.709172201427546,0.760471455179728,0.820727069344785,0.864016329646111,"Pasaribu Tobing"
