"10km","15km","20km","25km","30km","35km","40km","45km","50km","55km","60km","65km","70km","75km","80km","85km","90km","95km","100km","name"
1.05728225197111,0.978255002759397,0.951633492360512,0.990139005349038,0.996974228366987,1.00932117862688,0.982227475221815,0.926451713406185,0.903754018515431,0.888964351319091,0.867295313461293,0.862728736569396,0.864366038045539,0.868445626484764,0.863185609050925,0.860969952681438,0.854267575023773,0.846650379210597,0.841129215677858,"Batu Horpak"
0.871154472231865,0.875141682949933,0.902381053713502,0.897559617475797,0.885758782799979,0.908246097630925,0.919798356269051,0.893139431840282,0.869438181739321,0.845205411452302,0.840847217930635,0.846560309554054,0.850822840512528,0.850338753932016,0.849438794487459,0.852256928190373,0.845296960505035,0.835991288954219,0.829318581877568,"Pintupadang"
0.744607513504369,0.915839037392288,0.966593113996215,0.984781007024836,0.936687548881146,0.884046516248158,0.861463516950607,0.86880032929239,0.867957623347968,0.861502510772135,0.870379246020612,0.871132283874176,0.865262363706168,0.861595858057572,0.854237460048906,0.842947731821542,0.839558090555634,0.832764184951154,0.82680213859752,"Sayur Matinggi"
0.586774317281587,0.612384254166058,0.657078603158395,0.686880033542501,0.744038535488976,0.775977029563994,0.779085382408762,0.801398855096854,0.819093433670555,0.830442306919647,0.836296582990086,0.840133990253414,0.837301613774764,0.835025255080239,0.830523319701528,0.821121408269574,0.820538667412322,0.818505334401769,0.815008047859522,"Huraba"
0.509046425776822,0.527421121344422,0.61281913570289,0.698325141623456,0.734960710307709,0.779247618039672,0.844232149198332,0.845496690605541,0.846420149267702,0.827898164254588,0.834867793315834,0.830384229763659,0.831119498381248,0.829872766223477,0.822695499288313,0.824421895785594,0.821133287693604,0.819598021236528,0.818108126404407,"Pargarutan"
0.667484820820391,0.806050765243444,0.819008837817079,0.842835651953583,0.826554481309789,0.832529099078642,0.81849741675602,0.825755360191462,0.836456638371009,0.843592396801637,0.848526268973145,0.839787647015644,0.836636810126607,0.83811906055728,0.832806866204294,0.831870530627999,0.832729919940526,0.831955657008566,0.827424741636218,"Simarpinggan"
0.7943120514974,0.772747003670895,0.837455724076978,0.817067643006643,0.777943275186397,0.776629415391893,0.789742823125738,0.797086602613807,0.812044997942877,0.823519147316461,0.835115542769566,0.845838292337516,0.844800619874965,0.837187280054728,0.832444488352108,0.83131606606004,0.828588154343133,0.826797678428688,0.817473697306836,"Sitinjak"
1.04164618679455,1.04124633135164,0.898072985354169,0.851455576390356,0.849048463761807,0.822228687274971,0.807189922094049,0.806797861094544,0.811881963557131,0.817947095743756,0.830926868687202,0.834637577039912,0.840210981976256,0.845377699911801,0.843586145081843,0.832978896454267,0.830890792437264,0.823644086167606,0.822366332872207,"Sangkunur"
0.792322708169619,0.819958197799596,0.785940503417435,0.79979265683695,0.753800076912298,0.764033615377478,0.764417095690273,0.764554037113291,0.771796709197818,0.792694088153912,0.804705929505458,0.817069820460585,0.829548241310222,0.836449070044669,0.834942894043229,0.833171660669635,0.826547399492075,0.820872844111656,0.809574913025762,"Batang Toru"
0.814939228817821,0.764710126910359,0.691130622463711,0.686615191885959,0.73460261455991,0.745809499277265,0.749182455974002,0.772539489883018,0.796114188665662,0.809115158201615,0.827246700913755,0.839742024436252,0.837986963419086,0.836437150559223,0.8321828276419,0.825912547390573,0.820305293385248,0.81358759261594,0.810529109406611,"Marancar Udik"
